date,open,high,low,close,volume,amount,factor
2025-06-10,33.78,34.76,30.89,31.78,189280,620653.18603,1.0
2025-06-11,32.49,34.46,32.01,33.43,135978,453228.18254,1.0
2025-06-12,32.87,32.98,31.29,31.78,101925,326127.72882,1.0
2025-06-13,31.36,32.63,31.04,31.46,62104,197405.11148,1.0
2025-06-16,31.38,31.38,30.04,30.39,57232,174833.92469999997,1.0
2025-06-17,30.47,30.68,29.26,29.88,46833,140211.85468000002,1.0
2025-06-18,29.43,30.21,29.31,29.78,27912,83528.89917,1.0
2025-06-19,29.92,30.46,29.33,29.33,42625,128405.47731999999,1.0
2025-06-20,29.68,30.14,28.73,28.77,35522,103884.66148000001,1.0
2025-06-23,28.37,28.68,28.03,28.65,29262,83230.28177,1.0
2025-06-24,28.78,29.66,28.78,29.43,39424,116286.70275,1.0
2025-06-25,29.27,30.78,29.24,30.54,55164,166178.48447999998,1.0
2025-06-26,30.68,30.71,29.44,29.5,43632,130989.57228000001,1.0
2025-06-27,29.39,30.27,29.1,29.46,30140,89549.44213,1.0
2025-06-30,29.29,29.66,29.21,29.37,18830,55572.08285,1.0
2025-07-01,29.47,29.7,29.24,29.7,21641,64057.767479999995,1.0
2025-07-02,29.76,30.04,29.29,29.36,19130,56913.976670000004,1.0
2025-07-03,29.38,29.56,29.26,29.41,13033,38480.29061,1.0
2025-07-04,29.47,29.47,28.76,28.76,19631,57057.48736,1.0
2025-07-07,28.77,29.05,28.7,28.84,6737,19506.528120000003,1.0
2025-07-08,29.03,29.03,28.72,28.91,11081,32123.17687,1.0
2025-07-09,28.96,29.49,28.78,29.2,18787,55129.038909999996,1.0
2025-07-10,29.18,29.18,28.75,28.93,16334,47370.70512,1.0
2025-07-11,28.86,29.18,28.86,29.05,11850,34507.421729999995,1.0
2025-07-14,28.98,29.15,28.89,29.09,7907,23068.71779,1.0
2025-07-15,29.46,29.46,28.76,28.78,14321,41600.65688,1.0
2025-07-16,28.87,28.92,28.64,28.78,9648,27838.48174,1.0
