date,open,high,low,close,volume,amount,factor
2000-01-04,5.77,5.96,5.74,5.91,7278,5184.0,1.0
2000-01-05,5.97,6.05,5.84,5.85,13056,9437.0,1.0
2000-01-06,5.84,6.16,5.78,6.13,14867,10794.0,1.0
2000-01-07,6.16,6.67,6.12,6.65,43775,34182.0,1.0
2000-01-10,6.7,6.84,6.55,6.66,43785,35870.0,1.0
2000-01-11,6.66,6.7,6.21,6.24,24953,19559.0,1.0
2000-01-12,6.2,6.28,5.93,5.94,20162,14852.0,1.0
2000-01-13,5.94,6.14,5.87,5.98,14074,10303.0,1.0
2000-01-14,5.97,6.01,5.87,5.88,7289,5257.0,1.0
2000-01-17,5.77,5.95,5.77,5.9,7809,5551.0,1.0
2000-01-18,5.96,5.97,5.87,5.93,6750,4848.0,1.0
2000-01-19,5.93,6.11,5.93,6.07,7661,5594.0,1.0
2000-01-20,6.07,6.11,5.91,5.97,10726,7770.0,1.0
2000-01-21,5.97,5.98,5.8,5.86,24570,17417.0,1.0
2000-01-24,5.87,5.87,5.69,5.73,23265,16168.0,1.0
2000-01-25,5.73,6.01,5.73,5.92,17088,12095.0,1.0
2000-01-26,5.91,5.99,5.84,5.87,8088,5775.0,1.0
2000-01-27,5.97,5.97,5.77,5.81,20334,14318.0,1.0
2000-01-28,5.84,5.85,5.7,5.84,25603,17862.0,1.0
2000-02-14,6.14,6.38,5.93,6.38,40285,30395.0,1.0
2000-02-15,6.54,6.73,6.16,6.2,58961,46966.0,1.0
2000-02-16,6.16,6.18,5.97,6.03,39713,29217.0,1.0
2000-02-17,6.03,6.59,6.01,6.59,98399,76898.0,1.0
2000-02-18,6.7,7.09,6.24,6.45,104589,86453.0,1.0
2000-02-21,6.48,7.06,6.48,7.06,106444,89310.0,1.0
2000-02-22,7.2,7.32,6.62,6.68,67917,58151.0,1.0
2000-02-23,6.62,6.64,6.28,6.32,32314,25381.0,1.0
2000-02-24,6.17,6.51,6.17,6.44,18521,14398.0,1.0
2000-02-25,6.44,6.62,6.27,6.45,24272,18884.0,1.0
2000-02-28,6.49,6.66,6.35,6.56,28864,23017.0,1.0
2000-02-29,6.62,6.69,6.35,6.45,28685,22545.0,1.0
2000-03-01,6.45,6.62,6.45,6.54,21363,17014.0,1.0
2000-03-02,6.55,6.66,6.39,6.64,29843,23752.0,1.0
2000-03-03,6.66,6.99,6.66,6.79,64482,54022.0,1.0
2000-03-06,6.93,7.43,6.82,7.01,127224,112260.0,1.0
2000-03-07,6.97,7.24,6.84,7.08,68896,59720.0,1.0
2000-03-08,7.07,7.29,6.86,6.95,52018,44979.0,1.0
2000-03-09,7.2,7.4,7.0,7.31,91113,80911.0,1.0
2000-03-10,7.43,7.98,7.4,7.62,182609,172858.0,1.0
2000-03-13,7.71,8.35,7.71,8.35,143984,141946.0,1.0
2000-03-14,7.59,8.28,7.57,8.05,132501,131205.0,1.0
2000-03-15,8.01,8.09,7.32,7.38,94238,88970.0,1.0
2000-03-16,7.32,7.32,6.7,6.79,65986,56905.0,1.0
2000-03-17,6.79,7.22,6.74,7.16,48432,41953.0,1.0
2000-03-20,7.09,7.31,6.93,7.21,45288,39870.0,1.0
2000-03-21,7.21,7.26,6.97,7.09,35371,30740.0,1.0
2000-03-22,7.09,7.44,6.93,7.39,52543,46265.0,1.0
2000-03-23,7.42,7.53,7.24,7.39,34166,30947.0,1.0
2000-03-24,7.4,7.51,7.16,7.17,38587,34800.0,1.0
2000-03-27,7.16,7.33,7.03,7.32,34382,30342.0,1.0
2000-03-28,7.4,7.66,7.32,7.53,46507,42929.0,1.0
2000-03-29,7.57,7.64,7.3,7.4,26632,24218.0,1.0
2000-03-30,7.33,7.51,7.33,7.43,21034,19173.0,1.0
2000-03-31,7.43,7.43,7.26,7.32,24967,22525.0,1.0
2000-04-03,7.32,7.4,7.16,7.24,24707,22088.0,1.0
2000-04-04,7.23,7.23,6.97,7.01,27216,23663.0,1.0
2000-04-05,7.01,7.16,6.93,7.11,18183,15699.0,1.0
2000-04-06,7.15,7.16,7.05,7.16,18155,15858.0,1.0
2000-04-07,7.16,7.4,7.16,7.33,23629,21214.0,1.0
2000-04-10,7.36,7.54,7.33,7.38,24775,22606.0,1.0
2000-04-11,7.41,7.46,7.24,7.26,20606,18562.0,1.0
2000-04-12,7.27,7.46,7.2,7.43,24813,22417.0,1.0
2000-04-13,7.46,7.51,7.33,7.47,30908,28310.0,1.0
2000-04-14,7.5,7.67,7.44,7.54,38936,36227.0,1.0
2000-04-18,7.47,7.47,7.23,7.3,15374,13811.0,1.0
2000-04-19,7.36,7.39,7.16,7.23,20102,17829.0,1.0
2000-04-20,7.24,7.49,7.2,7.49,31139,28057.0,1.0
2000-04-21,7.54,7.71,7.44,7.63,24932,23199.441,1.0
2000-04-24,7.63,7.81,7.54,7.6,50479,47935.0,1.0
2000-04-25,7.6,7.68,7.47,7.57,19785,18387.0,1.0
2000-04-26,7.67,7.76,7.58,7.68,24914,23530.0,1.0
2000-04-27,7.71,7.75,7.36,7.37,26448,24520.0,1.0
2000-04-28,7.36,7.43,7.26,7.36,19223,17304.0,1.0
2000-05-08,7.36,7.55,7.33,7.47,14723,13504.0,1.0
2000-05-09,7.47,7.55,7.36,7.4,16186,14862.0,1.0
2000-05-10,7.4,7.4,7.01,7.03,17330,15235.0,1.0
2000-05-11,7.01,7.24,6.66,6.75,9366,7865.0,1.0
2000-05-12,6.78,6.91,6.66,6.69,13006,10724.0,1.0
2000-05-15,6.69,6.92,6.51,6.77,11640,9513.0,1.0
2000-05-16,6.78,6.93,6.78,6.87,7942,6670.0,1.0
2000-05-17,6.86,7.0,6.76,6.88,11909,10051.0,1.0
2000-05-18,6.86,7.03,6.82,6.99,13937,11911.0,1.0
2000-05-19,7.01,7.07,6.93,7.0,21056,18111.0,1.0
2000-05-22,7.01,7.16,7.01,7.09,43011,37416.0,1.0
2000-05-23,7.13,7.27,6.98,7.19,27332,24007.0,1.0
2000-05-24,7.2,7.26,7.09,7.11,25367,22242.0,1.0
2000-05-25,7.13,7.21,7.02,7.12,40921,35658.0,1.0
2000-05-26,7.37,7.77,7.16,7.43,32194,28720.0,1.0
2000-05-29,7.43,7.49,7.32,7.39,14744,12891.0,1.0
2000-05-30,7.39,7.76,7.36,7.46,22906,20622.0,1.0
2000-05-31,7.46,8.01,7.42,7.85,48361,44456.0,1.0
2000-06-01,7.89,7.96,7.69,7.78,27526,25496.0,1.0
2000-06-02,7.89,7.91,7.65,7.82,29244,26880.0,1.0
2000-06-05,7.83,8.27,7.5,7.63,56206,52833.0,1.0
2000-06-06,7.59,7.59,7.14,7.32,35348,30671.0,1.0
2000-06-07,7.33,7.46,7.24,7.27,17234,14944.0,1.0
2000-06-08,7.27,7.44,7.19,7.31,17591,15252.0,1.0
2000-06-09,7.32,7.4,7.16,7.17,12473,10728.0,1.0
2000-06-12,7.14,7.21,6.96,7.16,12155,10197.0,1.0
2000-06-13,7.16,7.4,7.16,7.28,7675,6647.0,1.0
2000-06-14,7.32,7.39,7.14,7.19,10463,8974.0,1.0
2000-06-15,7.16,7.32,7.12,7.22,7705,6608.0,1.0
2000-06-16,7.23,7.23,7.14,7.18,11173,9522.0,1.0
2000-06-19,7.18,7.18,7.0,7.09,8869,7476.0,1.0
2000-06-20,7.09,7.09,7.0,7.02,7482,6256.0,1.0
2000-06-21,7.02,7.09,6.96,7.03,6264,5233.0,1.0
2000-06-22,7.05,7.05,6.97,7.0,7658,6388.0,1.0
2000-06-23,7.0,7.26,6.96,7.19,9860,8365.0,1.0
2000-06-26,7.23,7.28,7.16,7.18,9178,7870.0,1.0
2000-06-27,7.19,7.23,7.09,7.1,6978,5907.0,1.0
2000-06-28,7.05,7.23,7.05,7.14,7464,6341.0,1.0
2000-06-29,7.17,7.18,6.99,7.01,8324,6981.0,1.0
2000-06-30,7.01,7.14,6.96,7.0,7846,6565.0,1.0
2000-07-03,7.0,7.02,6.82,6.84,10767,8843.0,1.0
2000-07-04,6.82,6.99,6.7,6.94,7893,6415.0,1.0
2000-07-05,6.96,7.03,6.86,6.88,4809,3955.0,1.0
2000-07-06,6.82,6.91,6.69,6.85,17543,14184.0,1.0
2000-07-07,6.85,6.99,6.83,6.95,9270,7666.0,1.0
2000-07-10,6.97,7.21,6.74,7.16,31496,26120.0,1.0
2000-07-11,7.18,7.19,7.01,7.06,14319,12077.0,1.0
2000-07-12,7.07,7.5,7.05,7.45,42388,37018.0,1.0
2000-07-13,7.48,7.77,7.23,7.26,51982,46485.084,1.0
2000-07-14,7.23,7.32,7.07,7.21,14175,12120.0,1.0
2000-07-17,7.21,7.32,7.08,7.14,12295,10520.0,1.0
2000-07-18,7.14,7.23,7.12,7.16,9077,7744.0,1.0
2000-07-19,7.16,7.25,7.09,7.19,10064,8580.0,1.0
2000-07-20,7.23,7.23,7.15,7.16,8821,7527.0,1.0
2000-07-21,7.16,7.16,7.09,7.1,10225,8659.0,1.0
2000-07-24,7.1,7.14,7.01,7.04,10426,8748.0,1.0
