date,open,high,low,close,volume,amount,factor
2012-04-16,5.93,6.15,5.77,5.82,114630,157332.037,1.0
2012-04-17,5.82,6.21,5.65,5.96,132670,182097.487,1.0
2012-04-18,5.77,5.88,5.65,5.88,84625,113534.985,1.0
2012-04-19,5.81,6.17,5.79,6.0,86417,120316.496,1.0
2012-04-20,5.97,6.12,5.82,5.99,61042,83946.603,1.0
2012-04-23,5.95,5.99,5.75,5.8,50284,68056.525,1.0
2012-04-24,5.72,5.9,5.52,5.63,41565,55105.312,1.0
2012-04-25,5.54,5.75,5.54,5.7,26292,34616.58,1.0
2012-04-26,5.65,5.74,5.57,5.62,19838,26145.663,1.0
2012-04-27,5.57,5.7,5.53,5.64,18327,24065.912,1.0
2012-05-02,5.7,5.76,5.58,5.74,26519,35176.628,1.0
2012-05-03,5.72,5.83,5.67,5.77,19746,26350.422,1.0
2012-05-04,5.76,5.86,5.72,5.81,25549,34293.349,1.0
2012-05-07,5.77,5.77,5.66,5.77,19067,25333.806,1.0
2012-05-08,5.76,6.11,5.73,5.92,50012,68527.953,1.0
2012-05-09,5.86,5.86,5.68,5.7,27235,36351.973,1.0
2012-05-10,5.66,5.81,5.66,5.71,12198,16263.384,1.0
2012-05-11,5.67,5.76,5.55,5.59,18270,24024.961,1.0
2012-05-14,5.65,5.7,5.57,5.59,13919,18245.139,1.0
2012-05-15,5.53,5.59,5.44,5.57,19407,25042.599,1.0
2012-05-16,5.57,5.61,5.48,5.51,12383,15980.745,1.0
2012-05-17,5.51,5.7,5.5,5.64,21380,27947.168,1.0
2012-05-21,5.53,5.64,5.49,5.57,15407,20022.388,1.0
2012-05-22,5.6,5.71,5.58,5.67,14117,18549.291,1.0
2012-05-23,5.62,5.69,5.55,5.62,10989,14382.355,1.0
2012-05-24,5.57,5.65,5.51,5.51,7969,10373.452,1.0
2012-05-25,5.49,5.53,5.25,5.37,17692,22313.29,1.0
2012-05-28,5.34,5.39,5.17,5.3,9887,12242.062,1.0
2012-05-29,5.33,5.4,5.28,5.38,8953,11262.624,1.0
2012-05-30,5.34,5.4,5.33,5.38,8012,10084.696,1.0
2012-05-31,5.35,5.47,5.32,5.43,13268,16804.262,1.0
2012-06-01,5.42,5.47,5.38,5.4,7527,9563.372,1.0
2012-06-04,5.27,5.32,5.13,5.14,10370,12779.757,1.0
2012-06-05,5.13,5.21,5.12,5.14,5164,6283.193,1.0
2012-06-06,5.16,5.27,5.14,5.19,6459,7909.491,1.0
2012-06-07,5.26,5.26,5.17,5.2,5573,6842.61,1.0
2012-06-08,5.25,5.27,5.15,5.16,6074,7450.373,1.0
2012-06-11,5.16,5.31,5.15,5.29,9415,11649.869,1.0
2012-06-12,5.23,5.28,5.2,5.26,5621,6933.007,1.0
